Timestamp	Enter your user id (prefilled, do not change)	Did you just finish the first or the second half of the study?	Which video viewing tool were you using? (prefilled, do not change)	How difficult was it to understand the lecture videos in this unit?	How difficult was it to answer the questions you encountered while watching the videos?	What percentage of the quiz questions do you think you answered correctly? (the first test you took after studying)	What percentage of the exam questions do you think you answered correctly? (the second test you took after studying)	How well do you understand the material that you just studied?	Which unit was harder, this unit or the previous one?	Overall, I am satisfied with using this video viewing tool	This video viewing tool was helpful for deciding how to spend my study time	This video viewing tool helped me review the material that I did not yet understand	This tool helped me maintain focus across the study period	Answering the questions while watching videos with this tool helped me learn the material	I would like to use this video viewing tool again in the future	What priority did you place on answering the questions correctly?	What priority did you place on completely viewing the video?	What did you like about this video viewing tool?	What did you dislike about this video viewing tool / what could be improved?	Which tool would you rather use for studying, this tool or the previous one?	Which tool would you rather use for studying if you were preparing for an exam and were short on time?	Which tool would you rather use for studying if wanted to remember the material long-term?	Any other comments?
9/18/2014 0:20:02	minh1		quizcram	1	1			6	Both were same difficulty	6	4	4	4	5	5	6	3	Shows questions as I am watching the video.  Shows parts of the video I have already watched via green bar.	Top bar covers some of the information needed to answer questions.  Splitting videos into smaller chunks makes it feel like I am doing more work; also some questions span multiple video segments.  I liked the outline/overview of the video sections from the previous tool, it seems to be missing from this one.  Criticism for both video viewers: neither auto-advances to next video; I shouldn't have to manually press play button to start the next video.	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	Remove the top bar, % progress is not important to me (since I can see visual representation on the bottom of screen), and 
9/18/2014 13:30:31	angelicachavez		invideo	1	2			6	The first unit was harder	7	7	7	7	7	7	6	7	The professor's lecture was easier to understand.  The presentation was definitely different than the first session...she didn't seem as "rushed" when speaking.  I liked that I got to hear the lecture BEFORE being asked or seeing any questions, therefore my focus was on listening/learning and not on answering the questions correctly.  I also liked that there were no percentages flashed on the screen of correct and incorrect answers, seeing that in the last video caused some anxiety and distracted from the learning experience. This one did not have that, and it made me feel that this video was centered on learning rather than answering questions.	No critique, I liked it.	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
9/18/2014 23:23:38	nathanjones1		quizcram	5	6			2	The second unit was harder	2	2	4	2	2	1	4	3		The answering system was set up for us to game the video and look for key words and I felt like I was encouraged to not really pay attention but to skim for buzz words.	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
9/19/2014 2:12:57	marcellaweiss1		invideo	3	3			5	The second unit was harder	4	5	3	4	5	4	6	6	I liked that the video was broken down into segments and there were quizzes involved.	I wish the quizzes had been placed at the end of segments.  It seemed silly that they weren't a conclusion, and there was additional important information shared after the quiz in most of the segments.   Also, quizzes weren't seamlessly integrated into the video-watching experience. I didn't like that I had to select the next section vs. clicking "next video."	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
9/19/2014 2:48:14	angilewis1		quizcram	4	2			5	The first unit was harder	6	7	6	7	6	7	6	7	It was a good fit for me to read and answer questions, while the video was playing. I appreciate how wrong answers were handled with information leading to correct answers.    I also highly enjoyed the shortcut pop up which indicated I can pick up where I left off on video simply by pressing enter.	different colors across bottom of video were distracting, entirely too busy. This continued to distract me as the watched videos moved to the bottom of the page.   Also, I wish the video did not stop when submitting on screen quiz answers. I like the flow of video progressing until I choose to stop it.  Finally, when presented with a blue button to move onto the next video, it often only took me to a new segment not previously visible. I prefer a clear lay out of where I am going, and have been. I prefer buttons to be more precise, such as: move to next segment when that is the resulting action		This tool (the one I just used)	This tool (the one I just used)	On screen quiz questions helped me stay focused on the lesson, and served as a viewing guide that helped me pinpoint important facts and details
9/19/2014 3:48:14	sakshisundaram1		invideo	2	1			6	The second unit was harder	5	7	7	7	7	7	7	7	This one was more organized in terms of smooth segmentation. No disruption like before.   Although I chose to answer the quiz as and when they came, the possibility that they can be skipped for easy viewing was a plus point.  However, unlike previous chapter the explanations were not given in quiz and since this chapter has a lot more technical terms, it should have been there.  I liked that this chapter was visually captivating as well in term of study material.  Comparing the two methods of asking questions I liked this one better personally, because the questions didn't distract me. In the previous one I didn't want to cheat with knowing the questions beforehand without having seen the entire video.  Nonetheless I agree that for someone who has a last minute exam preparation to do, having the possible questions and material side by side can be more helpful. Like I said, it depends on personal preference.	I got extremely annoyed with the the snag in first video at 4:14, at first a I thought it is my net issue. But when it kept happening at the same time it really got me.  The video either got stuck at 4:14 or started again from section 1, unless I skipped the time manually.  Also, I am not happy with the subtitles, especially in this one. They have misspelled myelin as millin at some point and have done similar mistakes.  Please see to it that in subtitles there should be no spelling mistakes especially since it is an educational video.  At one point, an important information about myelin being post-mitotic was displayed behind professor's head. I almost missed it first time. Useful or additional information should be organized in one proper slide.  Also especially since this video introduced newer terms, a sort of recapitulation in the end or beginning of a new video or a slide could be put up to increase retention. 	This tool (the one I just used)	The previous one (the one I used in part 1)	This tool (the one I just used)	I understand the video needs accurate subtitles but when the professor is speaking, the subtitles should strive to achieve the essence of what she says, and not her "a-a-a" or her other half-words or stutterings.  Yes she is speaking impromptu and which is why the video tool seems engaging and simple. But the subtitles should avoid confusion by not including those parts, like in one place she changed her word mid-way which is totally acceptable in speech but not writing.  
9/19/2014 12:38:04	johnnyxu		invideo	1	2			6	The first unit was harder	5	5	1	5	5	5	7	6	I liked how the questions were framed in a quiz format. It made it seem more serious and made me pay more attention to the information.	There was no overall review of what you missed. The third video was kind of difficult to process and the questions did not really solidify anything. I would have liked to review that material, but by reading it instead of watching the video again.	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	I payed more attention to this video format then the previous one. 
9/19/2014 14:49:33	jiawenli		invideo	6	6			4	The second unit was harder	6	6	6	6	6	6	6	4	I found out that you can adjust the speed by clicking - or +. I did not use this function in the first video.	The video could start the next section automatically after the previous one stopped	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	The previous one (the one I used in part 1)	
9/19/2014 23:44:41	annereynolds		quizcram	2	2			6	The second unit was harder	6	7	5	4	5	2	3	7	No streaming problems. I liked how once I was done, and I still had time in my 40 min, then I could go back to videos where I'd gotten questions wrong the first time on the quiz and review. I liked that sometimes, if I got the questions wrong, then the answers were switched around forcing me to read the answers again.  Also, having the questions from the beginning made me focus more on the answers to the questions than listening to the whole lesson material. I made a game with myself out of seeing when I thought I knew enough to answer the questions (without listening to the whole video). Then I'd listen to the whole video afterward. 	Make the intro to each video shorter if each video section is going to be as short as it is. I feel like I spent a lot of time listening to the intro music. But great work, overall! 	The previous one (the one I used in part 1)	This tool (the one I just used)	The previous one (the one I used in part 1)	
9/19/2014 23:45:48	lorant		quizcram	2	3			5	The second unit was harder	6	6	7	7	7	7	7	7	The test questions at the beginning helped identify the areas needed to be focused on. It did not require to watch the video to get to the quizzes. It could be used as a study tool and / or a review tool.	Some of the box sizes (such as the Review video before answering again) should be adjusted to display the entire text. 	This tool (the one I just used)	This tool (the one I just used)	This tool (the one I just used)	
