Timestamp	List 4 examples of human abilities that are considered abstract functions	List the parts of the brain where motor neurons can be found:	Enter your user id (prefilled, do not change)	Which part of the brain is involved in abstract functions?	How many different types of neurons are there in the body?	List 4 facts about the cell body	List 2 facts about dendrites	List 3 facts about axons	List 3 functions of glial cells	List 3 facts about astrocytes
9/19/2014 11:23:42	thinking planning reasoning	spinal cord	angelicachavez	forebrain	millions	Contains the nucleus largest part of the cell produces protein	Neurons have several dendrites Receive neuron information	Neurons only have one axon Send neuron information Have myelin sheath to send info faster	clean up the synapse  guide neurons during development	part of the cns
9/19/2014 21:19:23	emotions thinking language/speech planning	brain stem	minh1	forebrain	millions, each neuron is unique	control center for the cell contains mitochondria to generate energy performs waste disposal functions performs cell repair functions	takes input signals from other neurons and transmits to the cell body which sends output to the axon multiple dendrites are connected to the cell body	transmits output to synapse via action potential covered by myelin sheath which increases transmission speed axon is the longest part of the neuron, can be 1.5 meters long 	auxiliary support functions, eg: repair they multiply and can get cancer there are 2 types of glial cells: astrocytes support the central nervous system while the other type supports the peripheral nervous system	provide repair functions, eg: repair myelin sheath. astrocytes support the central nervous system astrocytes are one type of glial cells
9/19/2014 22:48:14	breathing blinking 	Brain stem	nathanjones1	Brain stem	4					
9/20/2014 1:20:28	reaction to pain moving limbs intentionally reaction to temperature dancing	all of brain except for stem	angilewis1	motor neurons	4	most cells divide out of control cell division may result in tumor(s) neurons do not divide susceptible to toxins	branch off of neurons connect to axons	connect to neurons connect to dendrites carry information	in the brain part of CNS not able to heal 	relay info to nervous system part PNS able to be healed
9/20/2014 1:24:35	motivation, speech, math, writing	cerebellum, brain stem	marcellaweiss1	brain stem	millions	called the soma, other types of cells have bodies in the same way, contains DNA, contains mitochondria (cell powerhouse)	form a dendritic arbor, gather information	can stretch up to a meter, send information to other neurons, ??	??	??
9/20/2014 1:46:50	Thinking Reading Speaking Cognition	Cerebellum- Mid and Hind part  Medulla Oblongata	sakshisundaram1	Forebrain	Millions types of neurons are there, cannot identify.	1.)Every cell has a cell body 2.) In neuron cell body is powerhouse of energy 3.) Dendrites collect information and give it to cell body 4.) Cell body transmits information through only one axon.	1.) They receive information from other body parts and give it to the cell body of the neuron. 2.) They appear as branches of a tree called dendrite-tree, since one cell body can have many dendrites.	1.) There is only one axon coming out of each cell body of a neuron 2.) The axons carry information from the cell body and dump it in synaptic spaces. 3.) It can be very long, up to 5 and half feet depending upon a person's height and starting from toe to back of the head. 	1.) They are helpers of axon and help keep the synaptic connection intact as they are very brittle. 2.) Glial cells carry new-born neurons to their places during the development 3.) They recycle the information dumped by axons in the synaptic spaces.	1.) They are one of the types of glial cells, others are oligocytes(?) and (?) 2.) They are the most commonly found glial cells 3.) Tumorous growth of astrocytes is known as astrocytosis (?)  (can't remember these points)
9/20/2014 13:34:59	emotions, thinking, 	brain stem	johnnyxu	forebrain	millions	can't remember	they can span in length about 10 meters, they branch off like tree branches	there is a space between axons.	there are about 10 different types, they help organize neurons, brain tumors are caused from these cells	can't remember
9/20/2014 14:33:06	Learning, memory, writing and expressing emotions	brainstem and spinal cord	jiawenli	forebrain	Many	called "soma" contains nucleus with DNA in it where power is produced by mitochondria where protein is produced 	There many branches of dendrites in a neuron Receive signals	Pass on signals Some have myelin surrounding it it's very long	support, transport and protect neurons 	the main type of glial cell
9/20/2014 23:22:03	smell vision touch pain	stem	lorant	cortex	millions (practically all neurons are different)	main part of the cell all cells have bodies largest part of the cell	the input terminals of the neurons can be extremely long (one meter or more) one neuron can have many dendrites	the output terminal of the neuron each neuron has one axon	"helpers"of neurons (about 10x more than neurons) can repair themselves can cause tumors	
9/21/2014 0:41:25	monitoring heart rate, neurons firing, knowing how much sugar is in blood stream, breathing (when not conscientiously regulated)	(on the right side of the map in the professor's picture)--the CP, the stem, 	annereynolds	left? I don't remember	There are many, I don't think an exact number was mentioned. 	1. The cell of a neuron consists of dendrites, axons, and two other parts including the main part of the cell.  2. dendrites gather information  3. axons send information back to the brain  4. Myolin (spelling) helps information travel faster in a neuron 	They carry information back to the main part of the cell. They branch out like a tree	1. Carry information back to the brain 2. Can be really long  3. travel through the stem in the brain 	1.tumors can form in them, multiplying rapidly (bad function--kill people) 2. & 3. don't remember the real functions	1. If virus gets in them, can stay dormant or the virus can go back out to the rest of the body  2. &3 don't remember anything 
9/21/2014 9:10:12	emotion memory thinking processing	brainstem they pass through the pia and dura membranes	emilytruong	forebrain	millions	energy making part of the neuron are in-between dendrite(s) and an axon contains the nucleus where neural impulses are generated	they sometimes form tree-like branches (arbor) around the neuron  they receive neural impulses	there's only 1 axon per neuron they convey a neural impulse from the cell body to the synapse myelinated & have nodes	support neurons move newly developed neurons to where they should be remove waste	most common glial cell doesn't make myelin supports neurons
9/21/2014 10:48:02	thinking, problem solving	brain stem	dinianapiekutowski	prefrontal cortex	Millions!	The cell body houses the nucleus and the DNA and produces energy.	Dendrites extend from the cell body in a fractal like pattern, in clusters called arbors. They also receive information from the axons of other neurons. 	Axons can be tremendously long. They transfer information to the dendrites of other cells-- and the speed of information transfer depends on whether they are mylenated or 'naked' (unmylenated). 	The glial cells, far in number as they are, nurture the neurons. They guide the neurons to their proper location in their early stages and support them during course of their lives. A potential 'function', if you will, for a glial cell is to be the source of a brain tumor because glial cells unlike neurons can continue to divide. 	The videos never mentioned that...
9/21/2014 15:05:14	Smelling Laughing Pointing at something after noticing it Smiling  	The bottom part of the brain (don't remember the exact name)	dorondorfman	The larger surface 	Millions	The headquarters of the neuron The information moves from the cell body to other cells  	Cleans the neurons  	Don't remember	Don't remember	Don't remember
9/21/2014 15:51:49	Crying, breathing, heart-pumping, bursting out laughing	In the forebrain and hindbrain	yanyan	The lower brain	millions and millions	It contains mitochondria, cytoplasm, DNA, and organic mass.	They can be very long and are shielded by mylien sheath	Axons receive nerve instructions, they translate impulses, and regulate communication		
9/21/2014 15:55:37		In the spinal column and the lower part of the brain between the front part and the spinal column	celinajackson	The forefront	Many different types	1. This is where the nucleus is located 2. This is where proteins are made 3. Every cell has a cell body	1. Every neuron has lots of dendrites 2. Dendrites receive information for neurons	1. There is one axon per neuron 2. Axons deliver signals from a neuron to other neurons 3. Axons are very long	1. Clean up the 'trash' that neurons produce 2. Help stabilize the neuron	
9/21/2014 16:18:42	Thinking Emotions Language learning ?	Brainstem Spinal Cord	crystalromero	The outer layers of the cortex (may have been called the forebrain?)	Millions of different types of neurons	Maintains homeostasis in the axon Sends the action potential across the axon terminal. 	They receive the signals from the axon synapses and send them to the cell bodies.	Can be as long as the length of one's body (almost) Transmits signals through action potentials There are millions of different types of axons, since each is specialized for a different function.	They assist the axons by supporting them and connecting them they make myelin they surpass the number of axons by far. 	They outnumber the other glial cells by far (most prevalent) They connect axons together and hold them so the dendrites still receive the dendritic signal 
9/21/2014 17:02:19	Glucose concentration regulation. Calcium concentration regulation. Heart rate. Digestion.	Cerebral cortex. Spine.	michelleloya	Front lobe?	There are more than several different types of neurons. Hundreds if not thousands.	The cell body contains DNA.  The cell body contains energy producing organelles.  The cell body contains the nucleus. The cell body resembles a city hall.	Dendrites function as receivers, collecting chemical and electrical signals.  Dendrites branch from the cell body.	Axons can extend very long distances.  Axons carries electric signals from one neuron to the receiving dendrite of another neuron (minding the synapse). Axons are can be wrapped in glial cells. 	Glial cells quicken the pace of information transfer. Glial cells work in conjunction to neurons. 	Astrocytes are glial cells. Astrocytes are part of the central nervous system. 
9/22/2014 6:40:54	Learning Emotions Motivation Creativity	Brain stem and spinal cord	ngocbui	The forebrain	There are millions	It contains the nucleus.  Location of cell body is how neurons are classified as being a part of the Central or peripheral nervous system. It contains the mitochondria. It is where proteins are made. 	They branch out and form dendrite trees.  Information is received by neuron through dendrites. 	There is only one per neuron.  It sends out information to synaptic terminals.  It can be myelinated or not. 	Clean up and recycle.  10 to 1 ratio of glial cells to neurons. Crucial for cell development because they form the scaffolding needed for proper transmission of signals. 	They are the workhorses They clean up They ensure that synapses are well formed. 
9/22/2014 8:05:42	emotions (can't remember another human ability)	Brain stem 	jonathangriffin	Fore brain 	billions	All neurons have them Control center of cell (Can't remember other facts)	Receive information from other neurons Send the information through the neuron	Responsible for the transfer of electrical impulses in the neuron Can be up to a meter long (Can't remember any more facts)	Cleans up mess around neurons (Can't remember any more functions)	Most common type of glial cell Responsible for clean up (Can't remember another fact)
9/22/2014 11:27:18	breathing digestion blood filtering jumping	brain stem 	sydneyosifeso	cerebellum	hundreds	contains nucleus central part of neuron largest part of cell contains structures responsible for making energy	branching structure receive impulses	long projection function is to transmit information make contact at synapse	surround neurons provide support provide insulation	shaped like a star type of glial cell located in brain stem
9/22/2014 11:34:24	feeling, thinking, exciting, worrying	hindbrain, forebrain	sarahsimmons	forebrain	millions	cells have a cell body the cell body is where cells get energy the cell body is the body of the cell the cell body makes waste and takes in nutrients	they are tree shaped they get the neurotransmitters that hop across the synapse	they can be really long (like several metres) they are why the neurons can be the longest cells in the body they transmit information from the dendrites to the cell body	motor coordination skin looking normal being healthy	star looking cells make structures to make cells right shape - scaffolding grow 
