Timestamp	Enter your user id (prefilled, do not change)	Which of the following are voluntary movements?	Which of the following stimuli are sensed but not perceived?	Which of the following are influenced by homeostatic brain functions?	Which of the following are true of the brainstem?	Which of the following are true of the forebrain?	Which of the following are true about neurons?	Which of the following are true about neurons?	Which of the following could be on the receiving end of a synapse?	Neurons can differ in which of the following features?	Which of the following are true of glial cells?	Which of the following are true of myelin?	Which of the following are true?	Which of the following are true?	Which of the following are true about the meninges?	Which of the following are central neurons?	Which of the following are true of viruses and large molecues such as toxins?	Which of the following are true of brain tumors?
9/19/2014 11:37:11	angelicachavez											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, There are two meningeal membranes, Low impact blows to the head typically do not produce a concussion	Motoneurons in the brainstem, Sensory neurons that respond to injury, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull, The most common type of brain tumor is a tumor of immortalized neurons, Glial cells are post-mitotic and therefore do not become cancerous
9/19/2014 21:30:20	minh1											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/19/2014 22:59:06	nathanjones1											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, There are two meningeal membranes	Motoneurons in the brainstem, Sensory neurons that respond to injury	They can affect peripheral neurons including sensory neurons, They can kill affected cells, All of the above	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 1:34:57	angilewis1											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Motoneurons in the brainstem, Autonomic motor neurons	All of the above	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 1:38:01	marcellaweiss1											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Sensory neurons that respond to injury, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 2:34:21	sakshisundaram1											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem, Sensory neurons that respond to injury	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 11:54:29	reference											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 13:43:10	allchecked											Myelin reduces the time needed for the brain to send messages, Information travels faster on the unmyelinated axons than on the myelinated axons, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, Sometimes demyelination speeds up action potential conduction (another name for travel), In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, The symptoms produced by all central demyelinating diseases are the same, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, There are two meningeal membranes, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem, Sensory neurons that respond to injury, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They never get through the meninges to reach the central neurons, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull, The most common type of brain tumor is a tumor of immortalized neurons, Glial cells are post-mitotic and therefore do not become cancerous
9/20/2014 13:46:41	johnnyxu											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, There are two meningeal membranes, Low impact blows to the head typically do not produce a concussion	Sensory neurons that respond to injury, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 15:09:26	jiawenli											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid	Forebrain neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Intracranial tumors are problematic because they increase pressure within the skull
9/20/2014 23:44:31	lorant											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/21/2014 0:58:20	annereynolds											Myelin reduces the time needed for the brain to send messages, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/21/2014 9:20:17	emilytruong											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/21/2014 11:03:21	dinianapiekutowski											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Sensory neurons that respond to injury	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They never get through the meninges to reach the central neurons, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull
9/21/2014 15:17:39	dorondorfman											Myelin reduces the time needed for the brain to send messages, Information travels faster on the unmyelinated axons than on the myelinated axons	The neural code consists of a temporal pattern of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Peripheral demyelinating diseases usually impair motor abilities, Diseases of different types of glial cells have different effects	The brain is contained within a sack of fluid, There are two meningeal membranes, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem	They can affect peripheral neurons including sensory neurons	Intracranial tumors are problematic because they increase pressure within the skull, Glial cells are post-mitotic and therefore do not become cancerous
9/21/2014 15:56:57	yanyan											About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Demyelination disrupts the neural code, The symptoms produced by all central demyelinating diseases are the same	The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Glial cells are post-mitotic and therefore do not become cancerous
9/21/2014 16:03:07	celinajackson											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Mutliple sclerosis, a central demyelinating disease, is a disorder of Schwann cells, Peripheral demyelinating diseases usually impair motor abilities, Demyelination disrupts the neural code	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Motoneurons in the brainstem, Sensory neurons that respond to injury, Autonomic motor neurons	They can affect peripheral neurons including sensory neurons, They can kill affected cells, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull, The most common type of brain tumor is a tumor of immortalized neurons
9/21/2014 16:37:39	crystalromero											Myelin reduces the time needed for the brain to send messages, Myelin helps humans react more quickly to perceived information, About 1/100th of a second is needed for an action potential to travel from the toe to the brain along a myelinated axon	The neural code consists of a temporal pattern of action potentials, Demyelination disrupts the patterning of action potentials, Demyelination can result in some action potentials failing to make it to the end of an axon, In myelinated axons, spikes jump from one inter-myelin space (called a node) to the next one	Demyelination disrupts the neural code, Diseases of different types of glial cells have different effects	The outermost meningeal layer, the dura, is the toughest, The brain is contained within a sack of fluid, The innermost meningeal layer, the pia, is the most delicate, Low impact blows to the head typically do not produce a concussion	Forebrain neurons, Motoneurons in the brainstem	They can affect peripheral neurons including sensory neurons, They never get through the meninges to reach the central neurons, They can cause changes in the skin innervated by sensory neurons	Tumors that start outside the brain can spread to the brain, Intracranial tumors are problematic because they increase pressure within the skull, Glial cells are post-mitotic and therefore do not become cancerous
